[2025-08-20 15:45:04] ✅ Loaded 40 deals from CSV.
[2025-08-20 15:45:06] ✅ Selected deal: 12114
[2025-08-20 15:45:10] 📎 Added file from Deal 12114: TA_TA_Pokerstars.xlsx
[2025-08-20 15:45:13] 📄 Processing TA_TA_Pokerstars.xlsx in Checking Mode...
[2025-08-20 15:45:13] 🧾 Detected TA file — using deposit/cashout logic.
[2025-08-20 15:45:13] Detected single combined transaction sheet. Attempting auto-detection...
[2025-08-20 15:45:13] 📋 Raw headers: ['Transaction ID', 'TXN Type', 'Created', 'Started', 'TXN Curency', 'TXN Amount', 'Status', 'Pay Type', 'Country']
[2025-08-20 15:45:13] 🔍 Normalized headers: ['transactionid', 'txntype', 'created', 'started', 'txncurency', 'txnamount', 'status', 'paytype', 'country']
[2025-08-20 15:45:14] ⚠️ Row 206: Unparsable date/time → '31/Jul/2016 04:50:43'
[2025-08-20 15:45:14] ⚠️ Row 207: Unparsable date/time → '31/Jul/2016 07:01:02'
[2025-08-20 15:45:14] ⚠️ Row 208: Unparsable date/time → '03/Aug/2016 12:44:21'
[2025-08-20 15:45:14] ⚠️ Row 209: Unparsable date/time → '04/Aug/2016 12:36:44'
[2025-08-20 15:45:14] ⚠️ Row 210: Unparsable date/time → '04/Aug/2016 13:04:34'
[2025-08-20 15:45:14] ⚠️ Row 211: Unparsable date/time → '19/Aug/2016 20:04:00'
[2025-08-20 15:45:14] ⚠️ Row 212: Unparsable date/time → '20/Aug/2016 07:59:37'
[2025-08-20 15:45:14] ⚠️ Row 213: Unparsable date/time → '24/Aug/2016 18:38:55'
[2025-08-20 15:45:14] ⚠️ Row 214: Unparsable date/time → '25/Aug/2016 17:55:38'
[2025-08-20 15:45:14] ⚠️ Row 215: Unparsable date/time → '26/Aug/2016 15:17:48'
[2025-08-20 15:45:14] ⚠️ Row 216: Unparsable date/time → '28/Aug/2016 07:31:24'
[2025-08-20 15:45:14] ⚠️ Row 217: Unparsable date/time → '02/Sep/2016 11:17:41'
[2025-08-20 15:45:14] ⚠️ Row 218: Unparsable date/time → '07/Sep/2016 17:58:16'
[2025-08-20 15:45:14] ⚠️ Row 219: Unparsable date/time → '08/Sep/2016 17:57:35'
[2025-08-20 15:45:14] ⚠️ Row 220: Unparsable date/time → '09/Sep/2016 04:05:42'
[2025-08-20 15:45:14] ⚠️ Row 221: Unparsable date/time → '09/Sep/2016 17:55:06'
[2025-08-20 15:45:14] ⚠️ Row 222: Unparsable date/time → '09/Sep/2016 18:07:30'
[2025-08-20 15:45:14] ⚠️ Row 223: Unparsable date/time → '09/Sep/2016 19:03:58'
[2025-08-20 15:45:14] ⚠️ Row 224: Unparsable date/time → '14/Sep/2016 19:48:16'
[2025-08-20 15:45:14] ⚠️ Row 225: Unparsable date/time → '15/Sep/2016 15:06:48'
[2025-08-20 15:45:14] ⚠️ Row 226: Unparsable date/time → '15/Sep/2016 15:12:56'
[2025-08-20 15:45:14] ⚠️ Row 227: Unparsable date/time → '15/Sep/2016 15:33:51'
