[2025-08-21 13:00:00] ℹ️ Row 341: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=51.23 dt='2017-05-28 13:32:54'
[2025-08-21 13:00:00] ✅ Row 341: Deposit accepted — 51.23 at 2017-05-28 13:32:54 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 342: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=17.54 dt='2017-06-06 04:33:59'
[2025-08-21 13:00:00] ✅ Row 342: Deposit accepted — 17.54 at 2017-06-06 04:33:59 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 343: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=19.64 dt='2017-06-11 12:08:19'
[2025-08-21 13:00:00] ✅ Row 343: Deposit accepted — 19.64 at 2017-06-11 12:08:19 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 344: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=17.18 dt='2017-08-18 12:34:18'
[2025-08-21 13:00:00] ✅ Row 344: Deposit accepted — 17.18 at 2017-08-18 12:34:18 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 345: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=11.62 dt='2017-08-27 08:24:15'
[2025-08-21 13:00:00] ✅ Row 345: Deposit accepted — 11.62 at 2017-08-27 08:24:15 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 346: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=13.68 dt='2017-10-06 10:21:22'
[2025-08-21 13:00:00] ✅ Row 346: Deposit accepted — 13.68 at 2017-10-06 10:21:22 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 347: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=11.49 dt='2017-10-20 14:02:56'
[2025-08-21 13:00:00] ✅ Row 347: Deposit accepted — 11.49 at 2017-10-20 14:02:56 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 348: type='redeem' dep=False wdr=True status_orig='Approved' canon='approved' amount=50.0 dt='2017-10-24 16:01:40'
[2025-08-21 13:00:00] ✅ Row 348: Redeem accepted — -50.0 at 2017-10-24 16:01:40 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 349: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=56.73 dt='2017-10-31 05:37:11'
[2025-08-21 13:00:00] ✅ Row 349: Deposit accepted — 56.73 at 2017-10-31 05:37:11 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 350: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=14.2 dt='2017-12-11 05:46:40'
[2025-08-21 13:00:00] ✅ Row 350: Deposit accepted — 14.2 at 2017-12-11 05:46:40 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 351: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=43.0 dt='2018-01-18 10:38:15'
[2025-08-21 13:00:00] ✅ Row 351: Deposit accepted — 43.0 at 2018-01-18 10:38:15 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 352: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=30.29 dt='2018-01-27 08:50:40'
[2025-08-21 13:00:00] ✅ Row 352: Deposit accepted — 30.29 at 2018-01-27 08:50:40 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 353: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=12.14 dt='2018-02-04 10:00:52'
