[2025-09-03 13:08:17] ➕ Added 1 file(s).
[2025-09-03 13:08:20] 📄 Processing TA_Pokerstars (20).xlsx in calculation Mode...
[2025-09-03 13:08:25] ✔ Deposit sheets: ['Sheet3']
[2025-09-03 13:08:25] ✔ Cashout sheets: ['Sheet3']
[2025-09-03 13:08:25] ℹ️ Same sheet in both lists → will parse once as combined: ['Sheet3']
[2025-09-03 13:08:25] 🔎 row 93: ✅ accept → dt=2018-05-07 amt=60.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:25] 🔎 row 94: ✅ accept → dt=2018-05-08 amt=30.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:25] 🔎 row 95: ✅ accept → dt=2018-05-09 amt=25.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:25] 🔎 row 96: ✅ accept → dt=2018-05-09 amt=10.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:25] 🔎 row 97: ✅ accept → dt=2018-05-09 amt=100.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:25] 🔎 row 98: ✅ accept → dt=2018-05-09 amt=30.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:25] 🔎 row 99: ✅ accept → dt=2018-06-02 amt=54.82 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:25] 🔎 row 100: ✅ accept → dt=2018-06-02 amt=0.50 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:25] 🔎 row 101: ✅ accept → dt=2018-06-02 amt=0.50 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:25] 🔎 row 102: ✅ accept → dt=2018-06-02 amt=2.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:25] 🔎 row 103: ✅ accept → dt=2018-06-05 amt=33.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:25] 🔎 row 104: ✅ accept → dt=2018-06-05 amt=25.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:25] 🔎 row 105: ✅ accept → dt=2018-06-08 amt=10.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:25] 🔎 row 106: ✅ accept → dt=2018-06-09 amt=20.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:25] 🔎 row 107: ✅ accept → dt=2018-07-02 amt=68.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 108: ✅ accept → dt=2018-07-02 amt=25.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 109: ✅ accept → dt=2018-07-02 amt=19.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 110: ✅ accept → dt=2018-07-04 amt=20.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 111: ✅ accept → dt=2018-07-05 amt=10.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 112: ✅ accept → dt=2018-07-09 amt=10.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 113: ✅ accept → dt=2018-08-01 amt=20.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 114: ✅ accept → dt=2018-08-05 amt=40.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 115: ✅ accept → dt=2018-08-05 amt=44.09 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 116: ✅ accept → dt=2018-08-05 amt=21.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 117: ✅ accept → dt=2018-08-05 amt=27.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 118: ✅ accept → dt=2018-08-05 amt=60.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 119: ✅ accept → dt=2018-08-05 amt=26.76 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 120: ✅ accept → dt=2018-08-05 amt=55.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 121: ✅ accept → dt=2018-08-05 amt=50.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 122: ✅ accept → dt=2018-08-05 amt=30.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 123: ✅ accept → dt=2018-08-05 amt=50.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 124: ✅ accept → dt=2018-08-05 amt=50.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 125: ✅ accept → dt=2018-08-05 amt=50.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 126: ✅ accept → dt=2018-08-06 amt=20.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 127: ✅ accept → dt=2018-08-07 amt=10.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 128: ✅ accept → dt=2018-08-08 amt=10.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 129: ✅ accept → dt=2018-08-09 amt=40.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 130: ✅ accept → dt=2018-08-09 amt=25.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 131: ✅ accept → dt=2018-08-09 amt=25.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 132: ✅ accept → dt=2018-09-04 amt=10.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 133: ✅ accept → dt=2018-09-04 amt=20.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 134: ✅ accept → dt=2018-09-05 amt=20.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 135: ✅ accept → dt=2018-09-05 amt=10.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 136: ✅ accept → dt=2018-09-05 amt=35.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 137: ✅ accept → dt=2018-09-06 amt=10.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 138: ✅ accept → dt=2018-09-07 amt=10.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 139: ✅ accept → dt=2018-09-07 amt=10.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 140: ✅ accept → dt=2018-09-08 amt=10.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 141: ✅ accept → dt=2018-09-08 amt=32.10 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 142: ✅ accept → dt=2018-10-02 amt=10.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 143: ✅ accept → dt=2018-10-02 amt=10.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 144: ✅ accept → dt=2018-10-04 amt=41.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 145: ✅ accept → dt=2018-10-04 amt=50.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 146: ✅ accept → dt=2018-10-04 amt=25.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:26] 🔎 row 147: ✅ accept → dt=2018-10-04 amt=25.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
