[2025-08-20 14:18:02] ⚠️ No files selected.
[2025-08-20 14:18:17] 📎 Added file from Deal 40153: TA_Pokerstars.xlsx
[2025-08-20 14:18:25] 📄 Processing TA_Pokerstars.xlsx...
[2025-08-20 14:18:25] 🧾 Detected TA file — using deposit/cashout logic.
[2025-08-20 14:18:25] Detected single combined transaction sheet. Attempting auto-detection...
[2025-08-20 14:18:25] ✅ Detected normal tabular structure. No CSV conversion needed.
[2025-08-20 14:18:25] 📋 Raw headers: ["Credit Status Report for 'muis21'  (Filtered)", 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']
[2025-08-20 14:18:25] 🔍 Normalized headers: ["creditstatusreportfor'muis21'(filtered)", 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none']
[2025-08-20 14:18:25] ⚠️ Header check failed: Missing date or amount — fallback mode. Using fallback mode (Column 0 = date, Column 1 = signed amount).
[2025-08-20 14:18:26] ⚠️ Row 186: Unparsable date → '1/1/2012 14:35'
[2025-08-20 14:18:26] ⚠️ Row 187: Unparsable date → '1/15/2012 11:23'
[2025-08-20 14:18:26] ⚠️ Row 188: Unparsable date → '1/20/2012 15:53'
[2025-08-20 14:18:26] ⚠️ Row 189: Unparsable date → '1/22/2012 13:23'
[2025-08-20 14:18:26] ⚠️ Row 190: Unparsable date → '1/22/2012 13:50'
[2025-08-20 14:18:26] ⚠️ Row 191: Unparsable date → '1/22/2012 14:44'
[2025-08-20 14:18:26] ⚠️ Row 192: Unparsable date → '1/22/2012 15:19'
[2025-08-20 14:18:26] ⚠️ Row 193: Unparsable date → '1/30/2012 9:01'
[2025-08-20 14:18:26] ⚠️ Row 194: Unparsable date → '1/30/2012 9:22'
[2025-08-20 14:18:26] ⚠️ Row 195: Unparsable date → '2/12/2012 16:24'
[2025-08-20 14:18:26] ⚠️ Row 196: Unparsable date → '2/26/2012 15:48'
[2025-08-20 14:18:26] ⚠️ Row 197: Unparsable date → '2/26/2012 16:37'
[2025-08-20 14:18:26] ⚠️ Row 198: Unparsable date → '2/26/2012 16:43'
[2025-08-20 14:18:26] ⚠️ Row 199: Unparsable date → '2/27/2012 10:36'
[2025-08-20 14:18:26] ⚠️ Row 200: Unparsable date → '3/4/2012 16:18'
[2025-08-20 14:18:26] ⚠️ Row 201: Unparsable date → '3/11/2012 16:53'
[2025-08-20 14:18:26] ⚠️ Row 202: Unparsable date → '3/17/2012 10:27'
[2025-08-20 14:18:26] ⚠️ Row 203: Unparsable date → '3/19/2012 8:32'
[2025-08-20 14:18:26] ⚠️ Row 204: Unparsable date → '3/20/2012 8:21'
[2025-08-20 14:18:26] ⚠️ Row 205: Unparsable date → '3/20/2012 9:45'
[2025-08-20 14:18:26] ⚠️ Row 206: Unparsable date → '3/25/2012 14:57'
[2025-08-20 14:18:26] ⚠️ Row 207: Unparsable date → '4/26/2012 9:22'
[2025-08-20 14:18:26] ⚠️ Row 208: Unparsable date → '4/26/2012 9:57'
[2025-08-20 14:18:26] ⚠️ Row 209: Unparsable date → '4/29/2012 10:53'
[2025-08-20 14:18:26] ⚠️ Row 210: Unparsable date → '5/13/2012 6:28'
[2025-08-20 14:18:26] ⚠️ Row 211: Unparsable date → '5/17/2012 12:44'
[2025-08-20 14:18:26] ⚠️ Row 212: Unparsable date → '5/17/2012 14:45'
[2025-08-20 14:18:26] ⚠️ Row 213: Unparsable date → '5/17/2012 15:26'
[2025-08-20 14:18:26] ⚠️ Row 214: Unparsable date → '5/19/2012 11:57'
[2025-08-20 14:18:26] ⚠️ Row 215: Unparsable date → '5/19/2012 14:03'
[2025-08-20 14:18:26] ⚠️ Row 216: Unparsable date → '5/21/2012 7:59'
[2025-08-20 14:18:26] ⚠️ Row 217: Unparsable date → '5/21/2012 9:41'
[2025-08-20 14:18:26] ⚠️ Row 218: Unparsable date → '5/21/2012 10:55'
[2025-08-20 14:18:26] ⚠️ Row 219: Unparsable date → '5/22/2012 14:13'
[2025-08-20 14:18:26] ⚠️ Row 220: Unparsable date → '5/22/2012 15:26'
[2025-08-20 14:18:26] ⚠️ Row 221: Unparsable date → '5/22/2012 16:29'
[2025-08-20 14:18:26] ⚠️ Row 222: Unparsable date → '5/24/2012 7:05'
[2025-08-20 14:18:26] ⚠️ Row 223: Unparsable date → '5/24/2012 8:35'
[2025-08-20 14:18:26] ⚠️ Row 224: Unparsable date → '5/24/2012 12:50'
[2025-08-20 14:18:26] ⚠️ Row 225: Unparsable date → '5/24/2012 13:17'
[2025-08-20 14:18:26] ⚠️ Row 226: Unparsable date → '5/24/2012 14:20'
[2025-08-20 14:18:26] ⚠️ Row 227: Unparsable date → '5/24/2012 14:29'
[2025-08-20 14:18:26] ⚠️ Row 228: Unparsable date → '5/24/2012 16:29'
[2025-08-20 14:18:26] ⚠️ Row 229: Unparsable date → '5/27/2012 7:22'
[2025-08-20 14:18:26] ⚠️ Row 230: Unparsable date → '5/27/2012 7:24'
[2025-08-20 14:18:26] ⚠️ Row 231: Unparsable date → '5/27/2012 7:48'
[2025-08-20 14:18:26] ⚠️ Row 232: Unparsable date → '5/27/2012 12:34'
[2025-08-20 14:18:26] ⚠️ Row 233: Unparsable date → '5/27/2012 14:38'
[2025-08-20 14:18:26] ⚠️ Row 234: Unparsable date → '5/30/2012 13:37'
[2025-08-20 14:18:26] ⚠️ Row 235: Unparsable date → '5/31/2012 8:13'
[2025-08-20 14:18:26] ⚠️ Row 236: Unparsable date → '5/31/2012 8:41'
[2025-08-20 14:18:26] ⚠️ Row 237: Unparsable date → '6/3/2012 8:32'
[2025-08-20 14:18:26] ⚠️ Row 238: Unparsable date → '6/3/2012 10:25'
[2025-08-20 14:18:26] ⚠️ Row 239: Unparsable date → '6/10/2012 11:25'
[2025-08-20 14:18:26] ⚠️ Row 240: Unparsable date → '6/11/2012 15:37'
[2025-08-20 14:18:26] ⚠️ Row 241: Unparsable date → '6/13/2012 18:18'
[2025-08-20 14:18:26] ⚠️ Row 242: Unparsable date → '6/24/2012 8:19'
[2025-08-20 14:18:26] ⚠️ Row 243: Unparsable date → '6/24/2012 8:24'
[2025-08-20 14:18:26] ⚠️ Row 244: Unparsable date → '6/24/2012 9:55'
[2025-08-20 14:18:26] ⚠️ Row 245: Unparsable date → '6/24/2012 11:02'
[2025-08-20 14:18:26] ⚠️ Row 246: Unparsable date → '6/24/2012 17:41'
[2025-08-20 14:18:26] ⚠️ Row 247: Unparsable date → '6/24/2012 17:44'
[2025-08-20 14:18:26] ⚠️ Row 248: Unparsable date → '6/25/2012 7:27'
[2025-08-20 14:18:26] ⚠️ Row 249: Unparsable date → '6/25/2012 8:16'
[2025-08-20 14:18:26] ⚠️ Row 250: Unparsable date → '6/25/2012 10:30'
[2025-08-20 14:18:26] ⚠️ Row 251: Unparsable date → '6/25/2012 13:28'
[2025-08-20 14:18:26] ⚠️ Row 252: Unparsable date → '6/25/2012 18:38'
[2025-08-20 14:18:26] ⚠️ Row 253: Unparsable date → '6/30/2012 7:37'
[2025-08-20 14:18:26] ⚠️ Row 254: Unparsable date → '6/30/2012 8:32'
[2025-08-20 14:18:26] ⚠️ Row 255: Unparsable date → '6/30/2012 8:44'
[2025-08-20 14:18:26] ⚠️ Row 256: Unparsable date → '7/1/2012 19:10'
[2025-08-20 14:18:26] ⚠️ Row 257: Unparsable date → '7/2/2012 10:34'
[2025-08-20 14:18:26] ⚠️ Row 258: Unparsable date → '7/2/2012 17:24'
[2025-08-20 14:18:26] ⚠️ Row 259: Unparsable date → '7/8/2012 13:49'
[2025-08-20 14:18:26] ⚠️ Row 260: Unparsable date → '7/9/2012 15:24'
[2025-08-20 14:18:26] ⚠️ Row 261: Unparsable date → '7/12/2012 9:49'
